keyword,volume,kd,cluster,note
halal mala,600,0,food-dish,new-post
halal mookata,500,0,food-dish,new-post
halal western food singapore,450,4,food-dish,new-post
halal dessert near me,450,0,food-dish,pSEO-desserts
halal thai food singapore,450,16,food-dish,new-post
halal ramen singapore,400,10,food-dish,pSEO-ramen
halal ramen,400,0,food-dish,pSEO-ramen
halal korean bbq,400,10,food-dish,new-post
halal bbq,350,2,food-dish,new-post
halal dessert,350,26,food-dish,pSEO-desserts
halal western food near me,300,8,food-dish,new-post
halal seafood restaurant singapore,300,23,food-dish,pSEO-seafood
halal bbq singapore,300,8,food-dish,new-post
halal dessert singapore,300,0,food-dish,pSEO-desserts
halal thai food,300,8,food-dish,new-post
halal seafood singapore,300,11,food-dish,pSEO-seafood
halal western food,250,16,food-dish,new-post
halal mookata singapore,250,2,food-dish,new-post
halal pizza singapore,250,5,food-dish,new-post
halal korean bbq singapore,250,0,food-dish,new-post
halal seafood,250,15,food-dish,pSEO-seafood
halal indian restaurant singapore,200,15,food-dish,pSEO-indian
halal seafood buffet singapore,150,33,food-dish,pSEO-seafood
halal ramen near me,150,8,food-dish,pSEO-ramen
halal thai restaurant singapore,150,2,food-dish,new-post
halal mala singapore,150,0,food-dish,new-post
halal satay delivery,100,15,food-dish,catering
halal western restaurant singapore,100,10,food-dish,new-post
jumbo seafood halal,100,0,brand-check,is-halal
halal korean food,90,1,food-dish,pSEO-korean
korean bbq halal,90,1,food-dish,new-post
halal indian restaurant,80,0,food-dish,pSEO-indian
