keyword,volume,kd,cluster,note
halal catering singapore,1200,52,catering,pSEO-optimize
halal catering,900,12,catering,pSEO-optimize
halal buffet catering singapore,600,34,catering,pSEO
halal food catering,350,24,catering,pSEO
aqiqah,300,0,services,new-post
halal food catering for 20 pax,300,0,catering,section
halal catering for small parties,250,0,catering,section
halal mini buffet catering singapore,250,7,catering,pSEO
aqiqah singapore,200,0,services,new-post
qurban singapore,200,13,services,new-post+lead
qurban,200,3,services,section
halal bento catering singapore,200,20,catering,pSEO
halal catering for 30 pax,200,15,catering,section
malay wedding,450,0,wedding,optimize-existing
malay wedding package,150,0,wedding,section
malay wedding venue singapore,150,0,wedding,new-post
singapore malay wedding,150,2,wedding,optimize-existing
malay wedding outfit,150,0,wedding,section
halal wedding catering singapore,150,45,catering,pSEO
korban,300,3,services,new-post
korban singapore,150,3,services,new-post
ibadah korban,200,0,services,section
tahlil arwah,900,0,muslim-life,new-post
tahlil,600,0,muslim-life,section
tahlil rumi,500,0,muslim-life,section
yasin dan tahlil,250,0,muslim-life,section
doa tahlil,200,0,muslim-life,section
halal christmas catering singapore,150,1,catering,new-post-seasonal
halal chinese new year catering,150,0,catering,new-post-seasonal
muslim friendly restaurant singapore,100,5,services,pSEO
